OBJECTID,NTRCODIGO,NTRNOMBRE,NTRTIPO,NTRMODO,NTRMTRANSP,GLOBALID,Shape__Area,Shape__Length
68,136,SHAIO,2,2,5,eda989ec-5255-4093-b0c6-23cca3a397b8,2.77416347671533e-08,0.0014366278376036
69,116,SIMON BOLIVAR,2,2,5,3383bfa8-3acb-473d-8852-5156cbad1091,4.10825578001095e-08,0.00203828451771954
70,152,SUBA  TV  91,2,2,5,daadde91-76f3-4e02-94d2-d5ac2a4e251f,2.43470594796236e-08,0.00140161712549446
72,160,MAZUREN,2,2,5,afa3626c-928a-471d-bde3-18c102598834,4.35486526839668e-08,0.00310426211583773
73,42,PRADERA,2,2,5,1eb3855c-041d-4ead-a7e6-a224852ba12d,5.20680032423115e-08,0.00323922575988802
76,140,SUBA CALLE 95,2,2,5,caf50f3e-f53f-4d20-8df8-41b0f40c3c7e,2.71355702352594e-08,0.00142909824535391
77,69,TERCER MILENIO,2,2,5,22e5bb66-7f39-4adf-b7ec-67954e7af112,5.20050775776326e-08,0.00276585743032784
79,34,VENECIA,2,2,5,36779bbb-185c-4c9c-864c-fe2f0e61e2f6,2.87849957203434e-08,0.00145485948527444
80,133,VIRREY,2,2,5,63036d5c-f879-481b-b261-47e9fc0d9f91,5.95763367527979e-08,0.00305125572157079
81,61,ZONA INDUSTRIAL,2,2,5,6fcbf72e-14b9-46aa-af84-0a693cf1aad3,3.09530889808229e-08,0.00157238527619333
82,119,NQS CALLE 75,2,2,5,bf07e275-fd74-49b2-8d42-949d20a2fc34,5.48679679468478e-08,0.00372800796391022
83,155,GRATAMIRA,2,2,5,ef3a0c09-1681-4368-8173-576e1d7cb9ae,2.46352556132479e-08,0.00141350432244996
84,51,HOSPITAL,2,2,5,5d60f563-e477-4b6a-a964-02ce72b93ad0,2.55419081440778e-08,0.00140808020706937
85,137,HUMEDAL CORDOBA,2,2,5,94592e66-e37d-45dc-9dd2-ab63ef48f017,2.72681859314616e-08,0.00143133957739873
88,81,LAS AGUAS,2,2,5,b26a7913-e8bc-48ce-bf09-7e2f23c7936a,5.55897941012518e-08,0.00158027747683727
89,26,PORTAL DEL SUR,3,2,5,57acbad4-5aa3-46f4-b498-8a9828bec006,6.65125506316144e-06,0.0115003267025534
91,70,DE LA SABANA,2,2,5,559ccfcb-4fbe-4f73-b6aa-2751e0291421,2.67386042196449e-08,0.00154147288024229
92,161,CARDIO INFANTIL,2,2,5,faa097dc-84b6-4c1a-9c6f-a7d135be0db1,3.5659866171045e-08,0.00269750877640801
93,39,MANDALAY,2,2,5,aa75f545-6a3c-4da6-9e36-fb3e7bb61dcf,6.39811048586125e-08,0.00416398079112063
94,41,MARSELLA,2,2,5,61200c1d-61af-4f30-af76-5a326c4eb345,8.37558786770387e-08,0.00545454030273413
95,165,PORTAL EL DORADO,3,2,5,4c86f6bf-1be5-46a4-a98f-9b7da4dcc0ee,8.30773075222169e-07,0.0132435644002802
96,164,PORTAL 20 DE JULIO,3,2,5,eaacab40-5d22-43a4-a789-e5511a9f3c0f,8.3300361950478e-06,0.0127742962281692
97,72,AV JIMENEZ,2,2,5,c472a963-768e-4710-ac8e-d5db6f48a92d,6.95822564011905e-08,0.0040251023526417
101,88,AV. EL DORADO,2,2,5,9762e506-2806-4e1e-b2f7-0415ab6349c3,2.2501609464598e-08,0.00108808707300368
102,134,FERIAS,2,2,5,a875a6a6-fb51-4ca7-9a8f-ff8738104f6d,2.00152214802074e-08,0.00106172288696941
104,11,MOLINOS,2,2,5,053eda0a-841c-4954-b4d3-b37ff520a247,3.72379247437493e-08,0.00208159679039467
105,28,MADELENA,2,2,5,ace9475e-8339-4079-8548-5571b0c6df7b,2.69106124051177e-08,0.00143170231076475
106,58,SAN FACON CARRERA 22,2,2,5,0a2a386e-20e7-43ee-b135-6cec88b4fe12,3.85785199341626e-08,0.00215168996328199
107,123,CALLE 72,2,2,5,5a28d704-5fc5-4b71-9849-02cb513a0416,5.19476088811643e-08,0.00276851539798509
108,132,CALLE 85,2,2,5,d2c0d9d5-c9a5-45cf-a610-0d11214d3c9b,7.8039846584943e-08,0.00437949744984971
109,92,CAMPIN,2,2,5,85fc13a2-b926-4eee-9358-a843417c9a28,3.82877090032707e-08,0.00202779783047139
110,120,CARRERA 47,2,2,5,caddae8b-b4d0-427d-9637-de11ff4fe83f,1.789342718439e-08,0.00103771734990163
111,62,CARRERA 43,2,2,5,58900bc7-ee94-4026-9325-504237cf4e6a,2.69044733158808e-08,0.00154189891326366
113,22,AVENIDA 1 DE MAYO,2,2,5,f1e4f8bc-89e3-457f-be2e-31aba06ae14f,8.36149354199733e-08,0.00313023747824856
114,78,SAN DIEGO,2,2,5,8366f281-b001-405e-8748-8003a138f8d7,6.52371738851798e-08,0.00347765306232958
115,76,LAS NIEVES,2,2,5,b47d6465-9851-40cd-802f-70656508be11,3.98548820612632e-08,0.00212205949438634
116,24,CIUDAD JARDÍN,2,2,5,f6ef5791-a13b-408b-8153-62c08a63c83c,3.44688260156545e-08,0.00178777303004563
117,44,MODELIA,2,2,5,4eb1f1be-5696-4aa7-a686-8b8e98ca9c63,6.24470430921065e-08,0.00310759464671307
118,43,NORMANDIA,2,2,5,7e0ef92d-9515-407b-9f91-5224dd143b3d,6.38556230114773e-08,0.00340081205669514
119,104,EL TIEMPO - MALOKA,2,2,5,0e7323e4-e3db-4735-a1a3-fb4313f9196b,5.45832108400646e-08,0.00295373687047389
120,103,SALITRE - EL GRECO,2,2,5,859656ff-9c46-488b-aecf-95f41ca5d811,4.80899018384662e-08,0.00304811505397009
123,45,NQS CALLE 30 SUR,2,2,5,6dc47d7c-9b70-4423-8ded-bfaf283eba1c,2.71162150511373e-08,0.00142742437369924
125,166,TERREROS HOSPITAL C.V.,2,2,5,aa95bd9b-88d6-4cba-9d0b-a9b8b3675a24,2.35629613598576e-08,0.00139556597063579
126,167,C.C. SANTAFE,2,2,5,38b2ebd1-0fc3-45f8-b6a9-acd9763436b3,4.58910278666735e-08,0.00262280337666434
127,168,LA DESPENSA,2,2,5,6293b210-a053-457c-a36e-d30608136d2e,2.20756533053645e-08,0.00136145346698143
129,170,LEON XIII,2,2,5,5989ee76-aca5-4663-b84a-6c2113fc91d0,2.23229505991185e-08,0.00138827126211231
130,171,SAN MATEO,2,2,5,d7faa679-61fc-45d4-856d-2a5d60faedf5,3.55072415914037e-08,0.00201584588904487
131,115,COLISEO,2,2,5,986f94c1-3a6a-46b5-83cf-9a391714eb2e,3.47649518062099e-08,0.00196092131804003
132,121,ESCUELA MILITAR,2,2,5,bf7f4238-5104-4764-9f57-4a423cd75772,3.75262345642113e-08,0.00199069436958062
133,91,UNIVERSIDAD NACIONAL,2,2,5,d498c3dc-f480-4384-9e90-99bfdcb8ba0f,5.03592332279368e-08,0.0027903492037736
134,153,LA CAMPIÑA,2,2,5,0db988f1-6713-4c86-a09d-5fa30d0dce72,2.45429987444368e-08,0.00140792946217825
135,113,AVENIDA CALI,2,2,5,14235b1a-7593-421d-b10c-dfe0bca1a66b,2.04284731353255e-08,0.00105592546105373
136,48,NARIÑO,2,2,5,65c5188b-e15f-4bc9-a031-d7fc165d263f,2.55431302775833e-08,0.00141303102166991
